Player,Team,OPM,DPM
Tyler Dorsey,ATL
Marco Belinelli,ATL
Quinn Cook,ATL
Malcolm Delaney,ATL
Ersan Ilyasova,ATL
Luke Babbitt,ATL
Josh Magette,ATL
Taurean Prince,ATL
Dewayne Dedmon,ATL
Nicolas Brussino,ATL
Dennis Schroder,ATL
Miles Plumlee,ATL
John Collins,ATL
Jeremy Evans,ATL
Kent Bazemore,ATL
Mike Muscala,ATL
Tyler Cavanaugh,ATL
DeAndre' Bembry,ATL
Jayson Tatum,BOS
Jaylen Brown,BOS
Shane Larkin,BOS
Kyrie Irving,BOS
Terry Rozier,BOS
Marcus Morris,BOS
Gordon Hayward,BOS
Jabari Bird,BOS
Daniel Theis,BOS
Abdel Nader,BOS
Daniel Dixon,BOS
Guerschon Yabusele,BOS
Marcus Smart,BOS
Semi Ojeleye,BOS
Andrew White,BOS
Al Horford,BOS
Kadeem Allen,BOS
Aron Baynes,BOS
L.J. Peak,BOS
Jonathan Holmes,BOS
Yakuba Ouattara,BKN
D'Angelo Russell,BKN
Sean Kilpatrick,BKN
Jeremy Lin,BKN
Spencer Dinwiddie,BKN
DeMarre Carroll,BKN
Joe Harris,BKN
Quincy Acy,BKN
Isaiah Whitehead,BKN
Timofey Mozgov,BKN
Jacob Wiley,BKN
Caris LeVert,BKN
Rondae Hollis-Jefferson,BKN
Jarrett Allen,BKN
Allen Crabbe,BKN
Trevor Booker,BKN
Tyler Zeller,BKN
Malik Monk,CHA
Marvin Williams,CHA
Jeremy Lamb,CHA
Marcus Paige,CHA
Nicolas Batum,CHA
Dwayne Bacon,CHA
Johnny O'Bryant III,CHA
Mangok Mathiang,CHA
Michael Carter-Williams,CHA
T.J. Williams,CHA
Dwight Howard,CHA
Michael Kidd-Gilchrist,CHA
Kemba Walker,CHA
Treveon Graham,CHA
Isaiah Hicks,CHA
Julyan Stone,CHA
Terry Henderson,CHA
Cody Zeller,CHA
Frank Kaminsky,CHA
Luke Petrasek,CHA
Diamond Stone,CHI
Jerian Grant,CHI
Bobby Portis,CHI
Cristiano Felicio,CHI
Justin Holiday,CHI
Zach LaVine,CHI
Antonio Blakeney,CHI
David Nwaba,CHI
Ryan Arcidiacono,CHI
Paul Zipser,CHI
Bronson Koenig,CHI
Quincy Pondexter,CHI
Cameron Payne,CHI
Lauri Markkanen,CHI
Jaylen Johnson,CHI
Jarell Eddie,CHI
Kris Dunn,CHI
Robin Lopez,CHI
Nikola Mirotic,CHI
Denzel Valentine,CHI
Kevin Love,CLE
Derrick Rose,CLE
Isaiah Thomas,CLE
Iman Shumpert,CLE
JR Smith,CLE
Channing Frye,CLE
Dwyane Wade,CLE
John Holland,CLE
Tristan Thompson,CLE
Cedi Osman,CLE
Kay Felder,CLE
Kendrick Perkins,CLE
LeBron James,CLE
Richard Jefferson,CLE
Kyle Korver,CLE
Jeff Green,CLE
Ante Zizic,CLE
Jose Calderon,CLE
Jae Crowder,CLE
Dennis Smith Jr.,DAL
Nerlens Noel,DAL
J.J. Barea,DAL
Johnathan Motley,DAL
Dwight Powell,DAL
Gian Clavell,DAL
Dorian Finney-Smith,DAL
Yogi Ferrell,DAL
Josh McRoberts,DAL
Jeff Withey,DAL
Maalik Wayns,DAL
Brandon Ashley,DAL
Wesley Matthews,DAL
Seth Curry,DAL
Devin Harris,DAL
PJ Dozier,DAL
Harrison Barnes,DAL
Dirk Nowitzki,DAL
Maxi Kleber,DAL
Salah Mejri,DAL
Darrell Arthur,DEN
Emmanuel Mudiay,DEN
Jameer Nelson,DEN
